wpi,port,country,size,type,tidal_range,entrance_width,channel_depth,latitude,longitude
31270,Ghent,Belgium,Medium,Canal or Lake,0.0,0.0,11.0,51.066667000000002,3.733333000000000
31280,Zeebrugge,Belgium,Medium,Coastal (Breakwater),4.0,0.0,9.4,51.333333000000003,3.200000000000000
31430,Tilbury,United Kingdom,Small,River (Tide Gates),3.0,0.0,0.0,51.466667000000001,0.333333000000000
31470,London,United Kingdom,Large,River (Basins),6.0,0.0,7.9,51.500000000000000,-0.083332999999900
31550,Ipswich,United Kingdom,Small,River (Tide Gates),3.0,0.0,4.9,52.049999999999997,1.166667000000000
31650,Immingham,United Kingdom,Medium,River (Tide Gates),5.0,0.0,7.9,53.633333000000000,-0.200000000000000
31668,New Holland,United Kingdom,Very Small,Open Roadstead,5.0,0.0,0.0,53.700000000000003,-0.366667000000000
31670,Goole,United Kingdom,Small,River (Tide Gates),5.0,0.0,3.4,53.700000000000003,-0.833333000000000
31720,Teesport,United Kingdom,Large,River (Tide Gates),3.0,0.0,14.0,54.649999999999999,-1.133333000000000
31930,Leith,United Kingdom,Medium,River (Tide Gates),2.0,0.0,6.4,55.983333000000002,-3.183333000000000
32980,Castle Bay,United Kingdom,Very Small,Coastal (Natural),3.0,0.0,6.4,56.950000000000003,-7.483333000000000
33210,Glensanda,United Kingdom,Very Small,River (Natural),4.0,0.0,20.1,56.566667000000002,-5.533333000000000
33560,Ayr,United Kingdom,Very Small,River (Basins),2.0,0.0,3.4,55.466667000000001,-4.633333000000000
33680,Warren Point,United Kingdom,Very Small,Coastal (Natural),5.0,0.0,5.4,54.100000000000001,-6.250000000000000
34400,Waterford,Ireland,Very Small,River (Natural),4.7,0.0,6.5,52.266666999999998,-7.116667000000000
34480,Dublin,Ireland,Medium,Coastal (Breakwater),4.0,0.0,9.5,53.350000000000001,-6.250000000000000
34630,Barrow In Furness,United Kingdom,Medium,Coastal (Tide Gates),6.0,0.0,9.4,54.116667000000000,-3.233333000000000
